id,year,month,zip_code,consumption_MW,number_of_accounts,category
522,2020,5,12173,32.175,71,3
523,2020,5,12164,210.887,109,3
524,2020,5,14092,"1,932.89",455,3
525,2020,5,12139,15.876,37,3
526,2020,6,13339,599.811,296,3
527,2020,5,12035,55.763,49,3
528,2020,6,13320,192.22,100,3
529,2020,6,12308,"4,866.74",458,3
530,2020,6,14048,"7,190.71",842,3
531,2020,5,14208,"1,892.99",189,3
532,2020,5,14209,"2,360.35",405,3
533,2020,5,12053,200.529,149,3
534,2020,6,12025,473.471,244,3
535,2020,6,12033,"1,544.69",489,3
536,2020,6,14729,43.131,38,3
537,2020,5,13486,66.904,36,3
538,2020,5,13215,971.975,346,3
539,2020,5,12090,"1,613.49",296,3
540,2020,6,12144,"13,308.51",934,3
541,2020,6,13029,888.025,300,3
542,2020,5,12019,356.499,275,3
543,2020,5,12056,332.672,165,3
544,2020,6,14718,366.001,125,3
545,2020,6,13159,"1,464.40",192,3
546,2020,6,13302,275.185,83,3
547,2020,5,12187,20.863,13,3
548,2020,5,12837,13.643,24,3
549,2020,5,14098,970.25,120,3
550,2020,6,12173,65.341,75,3
551,2020,5,14747,159.58,67,3
552,2020,5,13084,"1,048.49",209,3
553,2020,6,12850,105.107,84,3
554,2020,5,13678,2.597,11,3
555,2020,5,13471,181.664,101,3
556,2020,6,13131,508.976,183,3
557,2020,6,12121,71.93,50,3
558,2020,6,12157,732.365,234,3
559,2020,5,12885,956.702,354,3
560,2020,6,13051,4.477,7,3
561,2020,6,13120,412.467,86,3
562,2020,6,14741,116.081,101,3
563,2020,5,13365,"2,985.08",399,3
564,2020,6,12074,235.688,77,3
565,2020,6,14226,"9,268.47","1,241",3
566,2020,6,13619,"3,047.73",395,3
567,2020,6,13675,5.491,13,3
568,2020,6,12148,299.022,134,3
569,2020,5,14781,325.572,115,3
570,2020,6,13502,"13,047.14","1,597",3
571,2020,5,12036,2.787,11,3
572,2020,6,13308,143.887,86,3
573,2020,5,12957,70.078,57,3
574,2020,6,12884,16.907,24,3
575,2020,6,13625,201.396,87,3
576,2020,6,13210,"23,590.47","1,234",3
577,2020,6,13167,107.15,100,3
578,2020,5,14738,506.054,182,3
579,2020,5,13339,488.001,294,3
580,2020,6,14623,9.607,36,3
581,2020,6,12583,16.467,30,3
582,2020,6,14756,12.083,12,3
583,2020,5,13640,58.722,64,3
584,2020,6,12166,34.058,38,3
585,2020,5,13612,149.666,94,3
586,2020,6,14468,59.704,63,3
587,2020,6,13090,"6,256.02",853,3
588,2020,6,14108,809.699,192,3
589,2020,5,14201,"3,420.65",578,3
590,2020,5,14225,"7,833.44",431,3
591,2020,5,13207,"1,126.62",172,3
592,2020,6,12930,23.41,25,3
593,2020,6,13648,274.895,116,3
594,2020,5,12211,"5,708.80",316,3
595,2020,5,14047,721.67,231,3
596,2020,5,12822,648.145,237,3
597,2020,5,13167,89.346,100,3
598,2020,6,13290,"2,794.02",49,3
599,2020,5,12132,14.107,25,3
600,2020,5,14487,524.073,242,3
601,2020,5,12089,118.456,39,3
602,2020,5,13406,56.877,42,3
603,2020,6,13676,"6,677.77",747,3
604,2020,5,12197,12.919,37,3
605,2020,6,12085,"1,191.18",100,3
606,2020,5,13634,288.309,142,3
607,2020,6,14132,"3,098.56",321,3
608,2020,6,12053,291.05,150,3
609,2020,5,14782,196.562,94,3
610,2020,6,12019,406.046,274,3
611,2020,6,14525,423.918,149,3
612,2020,5,14787,21.616,29,3
613,2020,6,14208,"1,978.73",189,3
614,2020,5,12028,9.708,35,3
615,2020,5,14216,"3,178.19",843,3
616,2020,6,13679,82.811,94,3
617,2020,5,13159,"1,074.24",250,3
618,2020,6,12108,59.182,51,3
619,2020,5,13104,"2,540.84",480,3
620,2020,5,12059,73.603,64,3
621,2020,5,14223,"1,682.39",462,3
622,2020,6,13680,30.898,35,3
623,2020,6,13607,"1,314.95",436,3
624,2020,5,13693,26.443,67,3
625,2020,6,13331,37.874,43,3
626,2020,5,14075,783.488,240,3
627,2020,6,13203,"3,535.28",531,3
628,2020,6,13061,23.533,30,3
629,2020,5,14736,69.214,61,3
630,2020,5,12209,"1,361.01",283,3
631,2020,6,12204,"7,324.25",663,3
632,2020,5,14422,187.524,89,3
633,2020,5,14485,450.988,195,3
634,2020,6,12057,164.787,53,3
635,2020,6,13076,87.264,73,3
636,2020,6,13215,"2,611.59",274,3
637,2020,6,12842,325.24,131,3
638,2020,5,13685,416.366,163,3
639,2020,5,13036,"1,411.23",417,3
640,2020,6,12811,3.838,6,3
641,2020,5,12108,46.797,54,3
642,2020,5,13224,"2,144.37",309,3
643,2020,6,12302,"6,561.88","1,107",3
644,2020,5,13045,"6,995.65",219,3
645,2020,6,13637,"1,075.37",225,3
646,2020,6,14471,675.759,237,3
647,2020,6,14035,3.079,6,3
648,2020,6,12117,290.37,153,3
649,2020,5,13210,"19,101.05","1,293",3
650,2020,5,12835,91.079,156,3
651,2020,6,14806,62.461,61,3
652,2020,6,13424,"2,052.49",146,3
653,2020,5,12811,2.796,6,3
654,2020,5,12008,17.823,17,3
655,2020,5,13126,"10,201.93","1,361",3
656,2020,6,13353,10.349,13,3
657,2020,6,13641,11.71,29,3
658,2020,6,13032,"3,116.28",609,3
659,2020,5,12043,"3,264.54",450,3
660,2020,6,13495,"1,022.32",187,3
661,2020,5,14477,56.179,74,3
662,2020,5,12846,347.986,147,3
663,2020,6,13329,638.447,120,3
664,2020,5,12866,"20,860.15","2,512",3
665,2020,5,13114,142.903,236,3
666,2020,6,12209,"1,515.51",291,3
667,2020,6,12855,16.388,25,3
668,2020,5,14435,73.044,122,3
669,2020,5,12047,"5,065.18",756,3
670,2020,5,12208,"11,846.93",858,3
671,2020,6,13452,514.027,190,3
672,2020,5,12148,264.382,135,3
673,2020,5,14486,15.996,13,3
674,2020,5,13625,171.411,83,3
675,2020,5,13152,"1,285.46",207,3
676,2020,6,14111,540.096,193,3
677,2020,6,14174,674.124,218,3
678,2020,6,12824,85.855,105,3
679,2020,6,13616,241.742,53,3
680,2020,6,14058,836.834,206,3
681,2020,6,13224,"2,357.27",309,3
682,2020,5,14560,12.569,24,3
683,2020,6,12180,"23,208.89","2,680",3
684,2020,6,14120,"6,969.69","1,646",3
685,2020,5,12534,"6,686.66","1,124",3
686,2020,5,14228,"7,250.68",456,3
687,2020,5,12960,9.326,22,3
688,2020,5,12062,24.398,41,3
689,2020,6,12211,"6,278.44",316,3
690,2020,5,13694,99.622,78,3
691,2020,6,14028,741.521,77,3
692,2020,5,14063,"1,775.74",617,3
693,2020,6,14546,"1,661.06",185,3
694,2020,5,14126,75.326,65,3
695,2020,6,13669,"5,456.56",618,3
696,2020,5,14546,"1,630.51",184,3
697,2020,5,12956,79.15,12,3
698,2020,6,14068,"3,713.12",260,3
699,2020,5,14712,356.159,255,3
700,2020,5,12159,"1,169.48",238,3
701,2020,6,14747,191.108,67,3
702,2020,5,13643,51.388,28,3
703,2020,6,13031,"4,454.05",626,3
704,2020,5,14108,682.299,192,3
705,2020,5,13410,124.672,44,3
706,2020,5,12046,14.699,14,3
707,2020,5,12063,2.711,11,3
708,2020,6,12089,128.531,40,3
709,2020,6,14301,"3,555.58",551,3
710,2020,6,12523,69.113,112,3
711,2020,6,14172,470.331,167,3
712,2020,5,12833,188.31,162,3
713,2020,6,13413,"13,379.71",956,3
714,2020,6,13471,219.521,99,3
715,2020,5,13208,"3,243.93",833,3
716,2020,6,12885,"1,088.78",354,3
717,2020,5,12166,29.126,39,3
718,2020,5,14737,571.405,221,3
719,2020,5,13670,26.798,23,3
720,2020,6,14218,"5,398.13",657,3
721,2020,5,13044,263.293,102,3
722,2020,5,12930,20.767,25,3
723,2020,5,13680,25.33,35,3
724,2020,6,14212,"1,671.97",310,3
725,2020,6,13494,28.387,34,3
726,2020,6,14895,"1,091.69",314,3
727,2020,6,13672,143.59,45,3
728,2020,6,12095,"9,161.72",728,3
729,2020,6,12008,24.725,17,3
730,2020,6,12530,2.942,13,3
